CBScode,Municipality,Province,Population,Population_density(p/km),"HIC: Theft / burglary dwelling, complete","HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony
GM0340,Rhenen,Utrecht,19123,453,41,14,51,0,0,3,15,6,49,81,11,18,12,4,1,25,11,84,3,9,1
GM0597,Ridderkerk,South Holland,45207,1904,87,50,148,16,3,1,41,15,254,279,58,46,33,16,3,95,12,233,8,14,30
GM0196,Rijnwaarden,Gelderland,10926,276,8,1,22,0,1,0,7,0,5,15,9,6,7,3,1,12,3,45,3,1,1
GM1742,Rijssen-Holten,Overijssel,37696,399,36,10,72,1,2,1,23,6,90,81,7,24,22,11,1,45,4,126,4,3,14
GM0603,Rijswijk,South Holland,47680,3344,116,73,268,21,5,11,109,13,566,323,94,125,34,47,5,150,9,271,23,75,26
GM1669,Roerdalen,Limburg,20808,239,53,32,52,2,1,2,25,6,38,57,19,19,25,8,1,27,0,94,1,6,2
GM0957,Roermond,Limburg,57030,923,161,49,375,9,10,12,139,19,466,372,70,126,66,93,9,221,15,374,30,434,52
GM0736,"Ronde Venen, DeDe Ronde Venen",Utrecht,42648,426,99,77,80,2,1,17,28,5,111,185,33,54,51,24,0,48,4,168,9,15,9
GM1674,Roosendaal,North Brabant,76930,728,152,86,492,13,3,29,212,16,459,533,45,146,104,85,7,259,21,460,36,111,32
GM0599,Rotterdam,South Holland,618467,2952,1942,948,5503,624,125,501,2261,188,7863,5706,982,1201,997,941,121,2839,403,4837,528,1869,421
GM0277,Rozendaal,Gelderland,1500,54,9,3,2,0,0,1,0,0,3,10,1,0,0,0,0,2,0,5,0,0,0
GM0840,Rucphen,North Brabant,22213,347,35,17,78,0,1,3,40,5,29,55,12,26,37,18,1,36,2,90,8,1,9
GM1900,Súdwest-Fryslân,Friesland,84258,183,120,40,329,2,0,23,118,17,233,88,18,66,47,55,12,201,10,476,6,26,42
GM0441,Schagen,North Holland,46016,273,68,15,200,4,0,10,74,4,138,94,8,57,37,15,2,109,17,234,4,17,18
GM0279,Scherpenzeel,Gelderland,9496,679,12,3,19,0,0,0,11,0,36,10,2,3,11,3,0,8,0,46,1,1,3
